potentiometer0,potentiometer1,potentiometer2,potentiometer3,potentiometer4,potentiometer5,potentiometer6,encoder0,encoder1,encoder2,encoder3,encoder4,encoder5,encoder6
-1.0595436447547455,-0.5299622171972618,0.005296970624358743,-2.9531131424287,-2.9198805005444854,-2.9589302799302186,-2.964855551966547,-1.0376727253780504,-0.5181258712645965,0.00478849526,-2.9696238285954455,-2.9684165553793753,-2.968148272442471,-2.968282413910923
-1.0589579905784647,-0.5294706156006406,0.005256071827723781,-2.951888135303654,-2.919324037646844,-2.9587407422954697,-2.9643844891266573,-1.0376804481109247,-0.5181181485317223,0.00478849526,-2.9694896871269933,-2.9684165553793753,-2.968148272442471,-2.968282413910923
-1.0590112318672176,-0.5297515307987097,0.005272431346377766,-2.952453523207523,-2.919045806198024,-2.9581721293912264,-2.9639134262867675,-1.0376804481109247,-0.5181181485317223,0.00478979155,-2.9694896871269933,-2.9684165553793753,-2.968148272442471,-2.968282413910923
-1.0587982667122067,-0.5294003868011234,0.005231532549742804,-2.9520765979382766,-2.919231293830571,-2.9583616670259736,-2.9640076388547447,-1.0376881708437988,-0.5181181485317223,0.00478979155,-2.9694896871269933,-2.9684165553793753,-2.968148272442471,-2.968282413910923
-1.0595436447547455,-0.5300324459967791,0.005301060504022239,-2.9527362171594564,-2.9196950129119386,-2.9582668982085996,-2.9643844891266573,-1.0376804481109247,-0.5181181485317223,0.00478979155,-2.9694896871269933,-2.9684165553793753,-2.968148272442471,-2.968282413910923
-1.0589579905784647,-0.5296813019991926,0.005247892068396789,-2.9522650605729,-2.9200659881770323,-2.9588355111128437,-2.964667126830591,-1.0376804481109247,-0.5181181485317223,0.00478979155,-2.9694896871269933,-2.9684165553793753,-2.968148272442471,-2.968282413910923
-1.0590112318672176,-0.5296461875994338,0.005264251587050774,-2.95235929189021,-2.919324037646844,-2.9583616670259736,-2.9641018514227238,-1.0376804481109247,-0.5181181485317223,0.00478979155,-2.9694896871269933,-2.9684165553793753,-2.968148272442471,-2.968148272442471
-1.0594371621772398,-0.5299622171972618,0.005292880744695246,-2.9525477545248338,-2.918953062381751,-2.9576982853043554,-2.963630788582834,-1.0376727253780504,-0.5181181485317223,0.00478979155,-2.9694896871269933,-2.9684165553793753,-2.968148272442471,-2.968148272442471
-1.058851508000959,-0.5295057300003991,0.005239712309069796,-2.951888135303654,-2.919138550014299,-2.9579825917564775,-2.963725001150811,-1.0376650026451761,-0.5181181485317223,0.00478979155,-2.969355545658541,-2.9684165553793753,-2.968148272442471,-2.968148272442471
-1.059224197022229,-0.5297515307987097,0.005264251587050774,-2.9519823666209666,-2.9199732443607584,-2.9588355111128437,-2.964667126830591,-1.0376650026451761,-0.5181181485317223,0.00478979155,-2.969355545658541,-2.9684165553793753,-2.968148272442471,-2.968148272442471
